Age,d18O stack
0,-2088
1,-2036
2,-1909
3,-1764
4,-1738
5,-1782
6,-1445
7,-1247
8,-1016
9,-747
10,-434
11,-83
12,288
13,656
14,1003
15,1311
16,1557
17,1719
18,1795
19,1806
20,1778
21,1722
22,1636
23,1516
24,1379
25,1250
26,1149
27,1077
28,1025
29,989
30,967
31,954
32,946
33,943
34,946
35,954
36,962
37,959
38,937
39,898
40,852
41,809
42,767
43,723
44,675
45,630
46,596
47,574
48,555
49,530
50,491
51,440
52,392
53,367
54,370
55,388
56,413
57,449
58,506
59,586
60,683
61,786
62,880
63,951
64,988
65,979
66,919
67,808
68,650
69,449
70,219
71,-16
72,-227
73,-396
74,-519
75,-612
76,-698
77,-789
78,-880
79,-947
80,-961
81,-897
82,-764
83,-610
84,-496
85,-450
86,-451
87,-464
88,-470
89,-466
90,-465
91,-483
92,-534
93,-614
94,-699
95,-763
96,-806
97,-852
98,-909
99,-949
100,-942
101,-884
102,-807
103,-739
104,-689
105,-643
106,-592
107,-544
108,-511
109,-497
110,-515
111,-593
112,-749
113,-961
114,-1182
115,-1372
116,-1517
117,-1627
118,-1730
119,-1849
120,-1976
121,-2072
122,-2099
123,-2033
124,-1859
125,-1567
126,-1174
127,-725
128,-276
129,134
130,493
131,796
132,1035
133,1206
134,1310
135,1353
136,1344
137,1310
138,1287
139,1293
140,1316
141,1331
142,1323
143,1295
144,1262
145,1247
146,1269
147,1328
148,1410
149,1494
150,1560
151,1587
152,1567
153,1513
154,1448
155,1377
156,1292
157,1188
158,1075
159,961
160,846
161,726
162,607
163,497
164,404
165,324
166,254
167,196
168,154
169,128
170,113
171,110
172,122
173,145
174,176
175,216
176,275
177,362
178,472
179,590
180,700
181,781
182,808
183,753
184,602
185,375
186,108
187,-162
188,-417
189,-654
190,-878
191,-1096
192,-1303
193,-1479
194,-1596
195,-1638
196,-1610
197,-1527
198,-1411
199,-1286
200,-1173
201,-1077
202,-996
203,-930
204,-884
205,-871
206,-891
207,-938
208,-995
209,-1056
210,-1116
211,-1176
212,-1234
213,-1293
214,-1347
215,-1384
216,-1386
217,-1344
218,-1264
219,-1148
220,-1000
221,-827
222,-645
223,-471
224,-312
225,-168
226,-38
227,59
228,98
229,64
230,-29
231,-160
232,-316
233,-492
234,-676
235,-854
236,-1007
237,-1116
238,-1161
239,-1129
240,-1019
241,-852
242,-650
243,-430
244,-195
245,52
246,297
247,515
248,676
249,758
250,765
251,722
252,659
253,592
254,523
255,457
256,403
257,373
258,372
259,394
260,428
261,464
262,495
263,524
264,559
265,609
266,679
267,762
268,838
269,883
270,882
271,838
272,768
273,685
274,599
275,511
276,419
277,318
278,208
279,98
280,-6
281,-102
282,-192
283,-274
284,-348
285,-412
286,-460
287,-478
288,-453
289,-392
290,-310
291,-229
292,-158
293,-99
294,-53
295,-15
296,16
297,38
298,41
299,12
300,-59
301,-166
302,-299
303,-449
304,-608
305,-771
306,-930
307,-1075
308,-1196
309,-1285
310,-1331
311,-1334
312,-1301
313,-1248
314,-1188
315,-1126
316,-1064
317,-1004
318,-952
319,-918
320,-919
321,-961
322,-1037
323,-1132
324,-1236
325,-1342
326,-1449
327,-1553
328,-1649
329,-1728
330,-1776
331,-1774
332,-1708
333,-1576
334,-1385
335,-1135
336,-820
337,-446
338,-35
339,372
340,723
341,969
342,1090
343,1106
344,1064
345,1002
346,941
347,894
348,865
349,856
350,860
351,871
352,879
353,876
354,854
355,807
356,734
357,640
358,531
359,411
360,283
361,155
362,35
363,-75
364,-180
365,-282
366,-379
367,-454
368,-489
369,-477
370,-425
371,-345
372,-251
373,-155
374,-77
375,-37
376,-42
377,-86
378,-152
379,-227
380,-303
381,-380
382,-457
383,-532
384,-605
385,-670
386,-726
387,-773
388,-816
389,-857
390,-898
391,-938
392,-979
393,-1022
394,-1069
395,-1125
396,-1191
397,-1266
398,-1345
399,-1427
400,-1507
401,-1584
402,-1655
403,-1717
404,-1762
405,-1778
406,-1759
407,-1708
408,-1635
409,-1549
410,-1457
411,-1363
412,-1268
413,-1174
414,-1081
415,-994
416,-917
417,-851
418,-795
419,-740
420,-679
421,-608
422,-525
423,-433
424,-334
425,-222
426,-91
427,67
428,254
429,465
430,696
431,935
432,1165
433,1356
434,1478
435,1516
436,1487
437,1420
438,1343
439,1266
440,1192
441,1121
442,1059
443,1009
444,977
445,958
446,947
447,940
448,933
449,924
450,911
451,892
452,865
453,831
454,794
455,755
456,715
457,676
458,638
459,604
460,584
461,585
462,614
463,665
464,729
465,798
466,868
467,937
468,1003
469,1054
470,1066
471,1008
472,869
473,669
474,447
475,232
476,33
477,-156
478,-345
479,-530
480,-690
481,-801
482,-849
483,-848
484,-826
485,-806
486,-792
487,-779
488,-761
489,-736
490,-709
491,-689
492,-679
493,-679
494,-688
495,-707
496,-738
497,-777
498,-821
499,-866
500,-901
501,-912
502,-880
503,-796
504,-670
505,-521
506,-366
507,-216
508,-76
509,53
510,173
511,278
512,352
513,374
514,337
515,254
516,150
517,52
518,-30
519,-95
520,-153
521,-222
522,-308
523,-391
524,-437
525,-425
526,-360
527,-267
528,-168
529,-73
530,15
531,95
532,171
533,252
534,349
535,469
536,600
537,713
538,775
539,772
540,714
541,629
542,542
543,465
544,400
545,348
546,307
547,279
548,261
549,250
550,244
551,247
552,264
553,297
554,341
555,384
556,420
557,455
558,497
559,560
560,642
561,726
562,774
563,748
564,642
565,490
566,338
567,202
568,69
569,-87
570,-272
571,-475
572,-669
573,-824
574,-920
575,-949
576,-923
577,-858
578,-764
579,-646
580,-512
581,-368
582,-224
583,-89
584,21
585,87
586,99
587,60
588,-17
589,-123
590,-249
591,-381
592,-501
593,-596
594,-661
595,-696
596,-704
597,-686
598,-653
599,-613
600,-575
601,-532
602,-467
603,-365
604,-220
605,-54
606,89
607,157
608,126
609,9
610,-156
611,-335
612,-507
613,-659
614,-781
615,-862
616,-878
617,-794
618,-592
619,-283
620,91
621,480
622,844
623,1156
624,1408
625,1605
626,1757
627,1861
628,1906
629,1890
630,1839
631,1793
632,1776
633,1780
634,1778
635,1749
636,1686
637,1595
638,1486
639,1369
640,1260
641,1171
642,1110
643,1073
644,1050
645,1031
646,1013
647,995
648,977
649,959
650,940
651,922
652,903
653,882
654,852
655,806
656,734
657,632
658,508
659,370
660,228
661,88
662,-42
663,-155
664,-247
665,-320
666,-374
667,-401
668,-387
669,-326
670,-229
671,-121
672,-23
673,53
674,108
675,147
676,178
677,207
678,233
679,250
680,253
681,237
682,206
683,163
684,112
685,53
686,-13
687,-73
688,-98
689,-55
690,69
691,253
692,466
693,693
694,925
695,1141
696,1301
697,1381
698,1398
699,1403
700,1420
701,1414
702,1317
703,1089
704,754
705,401
706,111
707,-82
708,-201
709,-273
710,-298
711,-258
712,-154
713,-24
714,81
715,136
716,154
717,164
718,186
719,220
720,248
721,246
722,207
723,147
724,75
725,-19
726,-147
727,-292
728,-420
729,-505
730,-538
731,-526
732,-489
733,-452
734,-412
735,-329
736,-159
737,95
738,388
739,665
740,893
741,1062
742,1174
743,1231
744,1239
745,1216
746,1185
747,1160
748,1145
749,1142
750,1153
751,1180
752,1229
753,1304
754,1392
755,1455
756,1448
757,1348
758,1171
759,963
760,757
761,571
762,413
763,283
764,182
765,103
766,35
767,-31
768,-97
769,-164
770,-232
771,-297
772,-354
773,-391
774,-392
775,-356
776,-302
777,-260
778,-201
779,-266
780,-330
781,-376
782,-422
